rank,elapsed_seconds,V3,V6,V9,V10,V11,V12,V15,V18,pred_active,pred_forward,pred_theta_mean,pred_theta_sigma,sim_active,sim_forward,sim_theta_mean,sim_theta_sigma,sim_theta_p95,sim_n_active,sim_n_forward,sim_n_backward,sim_bpm_score
1,9.420999999998457,-717.9981689453125,-876.94970703125,515.6033935546875,141.9476318359375,-4.53814697265625,-701.2955932617188,580.3934326171875,-319.27642822265625,0.2994333505630493,0.993683934211731,6.979044437408447,3.4945602416992188,0.312,1.0,5.80586249,2.71988125,9.25573578,156,156,0,0.3132
2,8.71900000000096,-861.6527709960938,-752.20703125,288.2467041015625,90.529541015625,240.2125244140625,-451.0980224609375,97.4320068359375,-122.953857421875,0.300401508808136,1.0060615539550781,7.0185112953186035,3.486783981323242,0.096,1.0,9.97508028,4.09450387,15.3000945,48,48,0,0.1631
3,8.8279999999977,-829.871826171875,-860.1201782226562,472.95458984375,35.23828125,33.6951904296875,-975.8826904296875,-62.7393798828125,-440.39501953125,0.30436164140701294,1.001604676246643,6.998155117034912,3.5114855766296387,0.378,1.0,7.04146467,3.86455121,12.6579343,189,189,0,0.3626
4,8.421999999998661,-833.507568359375,-851.0532836914062,480.9383544921875,39.442138671875,35.94873046875,-963.7341918945312,-31.11737060546875,-411.73565673828125,0.3014936149120331,1.0011756420135498,7.017930507659912,3.492715835571289,0.394,1.0,7.52011419,4.35619736,13.5845387,197,197,0,0.3756
5,8.453000000001339,-824.9668579101562,-739.7889404296875,462.5140380859375,-97.3218994140625,-26.847900390625,-751.6550903320312,-485.79107666015625,83.442626953125,0.2995125651359558,1.0013866424560547,6.9883575439453125,3.5095374584198,0.422,1.0,6.41275763,2.75608261,10.7435992,211,211,0,0.3866
6,9.515999999999622,-717.060302734375,-466.42376708984375,948.1514892578125,142.17626953125,208.2900390625,-433.0885009765625,130.236572265625,-314.2132568359375,0.3005695939064026,0.9852346181869507,6.982855319976807,3.5125739574432373,0.436,1.0,10.9198401,5.72719661,26.350588,218,218,0,0.522
7,9.889999999999418,-701.0147094726562,-479.86199951171875,911.6280517578125,135.5400390625,202.2957763671875,-450.54180908203125,181.2034912109375,-298.49725341796875,0.3000182509422302,0.9817970395088196,6.977254390716553,3.535123348236084,0.51,1.0,10.3995586,5.58197201,24.6784412,255,255,0,0.5211
8,9.454000000001543,-750.4764404296875,-826.9986572265625,559.1773681640625,167.288330078125,97.7042236328125,-659.983154296875,362.989013671875,-283.87005615234375,0.30062946677207947,0.9898642301559448,6.996909141540527,3.5123276710510254,0.36,1.0,6.39205484,5.59880985,17.8746811,180,180,0,0.3517
9,9.31300000000192,-823.6542358398438,-859.475830078125,417.5224609375,44.6219482421875,39.1160888671875,-959.7603149414062,-46.8546142578125,-512.9560546875,0.301388680934906,1.0022467374801636,7.005456447601318,3.498490571975708,0.34,1.0,7.06671954,4.00684814,12.8898996,170,170,0,0.3232
10,9.625,-872.1163330078125,-782.625732421875,371.2451171875,83.039306640625,246.80615234375,-431.87078857421875,180.7247314453125,-99.2618408203125,0.30224287509918213,1.0010278224945068,6.999289512634277,3.4949004650115967,0.184,1.0,12.0569729,3.44309404,16.4520205,92,92,0,0.2478
11,9.937000000001717,-903.626708984375,-570.6976318359375,73.8092041015625,-6.10296630859375,72.7740478515625,-670.6282348632812,-583.8502197265625,-52.3687744140625,0.299818217754364,0.9974125027656555,6.962613105773926,3.5022213459014893,0.356,1.0,8.29606288,5.32653711,18.0960505,178,178,0,0.4897
12,9.046999999998661,-733.841796875,-814.426513671875,524.3375244140625,105.61279296875,-75.45965576171875,-759.7593994140625,562.0615234375,-283.269775390625,0.30063360929489136,0.9788956642150879,6.992379665374756,3.508396863937378,0.304,1.0,5.6510398,2.73936974,10.0748595,152,152,0,0.3211
13,9.21900000000096,-734.765625,-813.5631713867188,526.5499267578125,105.0025634765625,-76.2889404296875,-760.689697265625,561.3062744140625,-281.90234375,0.3007294237613678,0.978836715221405,6.992323398590088,3.508776903152466,0.314,1.0,5.85667157,2.88952937,9.80602709,157,157,0,0.3193
14,9.15599999999904,-721.396240234375,-877.135986328125,812.7574462890625,85.445068359375,-136.43304443359375,-845.13525390625,167.0489501953125,12.66131591796875,0.29754704236984253,1.003225326538086,6.973519802093506,3.5108017921447754,0.288,1.0,3.40503988,2.63553504,6.18472037,144,144,0,0.2886
